http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,15560,15234,14833,14185,13929,13739,14301,14634,14237,14286,13988
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,544,600,551,499,516,471,495,521,412,463,446
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,569,514,566,569,561,514,523,557,532,513,496
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,315,327,363,333,321,329,340,356,335,315,356
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,348,348,321,302,303,268,288,303,283,282,261
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,1100,1095,1092,1045,1101,1104,1114,1142,1066,1038,1013
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,127,123,131,117,143,108,127,152,140,124,151
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,480,441,425,368,364,471,509,481,498,441,460
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,409,448,468,458,431,428,439,535,454,419,431
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,401,405,358,358,315,310,319,285,289,316,308
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,312,285,249,255,262,265,285,313,305,279,301
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,252,255,271,264,299,246,245,286,278,283,254
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,225,238,220,217,234,218,204,239,216,243,255
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,372,390,410,395,370,369,389,441,462,451,454
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,1025,915,976,960,881,978,1010,1031,948,961,1024
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,2191,2068,2107,1933,1803,1788,1818,1827,1621,1634,1583
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,650,688,645,574,540,572,663,623,686,704,612
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,297,309,276,292,238,217,250,271,268,221,260
