http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,65946,68519,66845,72674,75728,80778,82964,82285,80303,84232,91737
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2812,3043,3040,3057,3187,3356,3398,3400,3322,3180,3339
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,2558,2649,2532,2870,2838,2979,3069,3041,3031,2918,3267
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1246,1351,1383,1361,1663,1693,1729,1754,1623,1634,1783
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,1115,1115,1116,1125,1148,1166,1195,1221,1180,1140,1176
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,4871,5268,5209,5751,5958,6129,6042,6087,5743,6276,6764
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,447,527,464,548,650,622,776,642,659,580,727
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,2124,2212,1944,1966,1754,2273,2337,2352,2203,2204,2474
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,2156,2260,2190,2373,2422,2618,2681,2867,2542,2642,2914
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,1765,1821,1774,1870,2054,2429,2244,2195,2294,2381,2845
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,1098,1183,1051,1168,1178,1287,1307,1364,1437,1397,1630
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,1084,1181,1169,1243,1410,1349,1348,1415,1310,1470,1512
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,836,827,762,917,946,1007,1219,1193,1080,1233,1378
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,1715,1811,1809,1872,2013,2311,2302,2141,2128,2248,2609
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,4709,4440,4729,4996,4927,5274,5329,5369,4722,5096,5526
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,9190,9388,9182,10212,10218,11262,11883,11591,11787,12100,13121
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2499,2525,2513,2755,2870,3158,3120,3188,3059,3083,3405
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,1444,1452,1091,1337,1210,1374,1428,1368,1455,1538,1578
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,1002,1134,1025,1167,1325,1232,1265,1208,1245,1535,1547
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,996,1100,925,905,1011,1191,1197,1222,1054,1125,1218
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,375,428,365,409,447,413,394,420,296,333,397
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,1888,1834,1827,1987,2207,2438,2320,2369,2644,2710,2996
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,4943,5131,5065,5366,5731,5712,5783,6105,6000,6308,6747
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,183,175,195,199,239,328,271,232,235,221,280
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,1497,1665,1445,1781,1937,2052,2086,2086,1953,1947,2175
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,2304,2354,2254,2569,2553,2807,3195,2896,2741,3251,3437
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,1433,1472,1335,1635,1724,1705,1685,1708,1611,1893,2090
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,248,270,239,259,329,254,340,300,288,355,365
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,1506,1588,1662,1672,1831,1840,1981,1922,1993,2205,2484
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,4005,4144,4170,4305,4560,4950,5046,4995,5032,5178,5577
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,963,1009,1028,1121,1216,1211,1280,1210,1244,1108,1278
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,1174,1239,1270,1463,1463,1503,1689,1571,1614,1814,1822
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,1760,1923,2082,2415,2709,2855,3025,2853,2778,3129,3252
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,923,948,911,967,1049,1050,1111,,,,1056
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,1212,1244,1281,1221,1218,1372,1388,,,,1362
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,794,998,985,1022,1079,1103,1048,,,,1083
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,736,699,717,826,804,848,891,,,,932
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,660,698,655,758,769,790,802,,,,887
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,1114,1139,1072,1180,1312,1202,1207,,,,1323
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,909,959,1096,1288,1381,1479,1526,,,,1587
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,782,767,837,809,933,1051,1024,,,,1088
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,733,868,832,817,1009,965,1021,,,,1022
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,864,840,852,790,819,811,889,,,,809
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,1038,1069,1089,1122,1256,1248,1382,,,,1732
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,963,987,902,1026,992,1050,1094,,,,1178
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",851,853,830,921,934,995,1045,,,,1099
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",1218,1276,1351,1335,1437,1560,1586,,,,1896
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,605,680,627,727,827,788,960,,,,966
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,915,923,902,1024,960,973,1177,,,,1397
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,918,926,962,987,949,1005,1053,,,,1127
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,956,1026,1046,1146,1176,1235,1268,,,,1398
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,928,907,1021,1119,1113,1088,1123,,,,1184
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,712,768,789,806,814,869,866,,,,989
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,928,901,870,935,1050,1152,1120,,,,1345
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,960,933,957,1052,1157,1286,1200,,,,1651
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,761,874,866,1047,1091,1160,1118,,,,1241
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,1010,1008,925,905,833,1109,1195,,,,1202
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,1087,1137,1022,1219,1217,1337,1356,,,,1462
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,1069,1123,1168,1154,1205,1281,1325,,,,1452
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,780,713,796,922,792,856,863,,,,942
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,842,879,974,959,1061,1129,1165,,,,1358
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,776,799,780,822,965,939,944,,,,1120
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,526,529,512,630,624,657,730,,,,878
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,635,621,669,698,692,669,664,,,,726
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,1092,1255,1242,1302,1405,1419,1480,,,,1545
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,941,924,929,1143,1130,1142,1082,,,,1314
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,824,906,871,988,1007,1097,1019,,,,1212
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,558,681,661,672,768,803,812,,,,795
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,821,881,837,948,956,999,985,,,,1172
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",815,884,753,950,1039,1011,994,,,,1217
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,877,910,921,954,1009,1128,1095,,,,1285
