feature_code,date_code,swem_score,type_of_tenure,household_type,age,gender,limiting_long_term_physical_or_mental_health_condition,trend,la_name,la_simd_mean,la_simd_rank,year,total_suicide_deaths,total_alcohol_dealths,total_drug_deaths
S12000005,2014-2017,24.1,All,All,All,All,All,0.5300000000000011,Clackmannanshire,3082.375,8,2016,19.125,16.125,NA
S12000006,2014-2017,24.27,All,All,All,All,All,0.2900000000000027,Dumfries and Galloway,3432.6616915422887,16,2016,12.075,12.305,NA
S12000008,2014-2017,23.7,All,All,All,All,All,0.08999999999999986,East Ayrshire,2736.1779141104294,6,2016,12.895,16.73,NA
S12000010,2014-2017,24.53,All,All,All,All,All,-0.879999999999999,East Lothian,3979.4166666666665,22,2016,8.51,15.425,NA
S12000011,2014-2017,24.55,All,All,All,All,All,-0.39000000000000057,East Renfrewshire,5178.319672131148,32,2016,9.525,11.745000000000001,NA
S12000013,2014-2017,24.53,All,All,All,All,All,-0.5300000000000011,Na h-Eileanan Siar,3286.0833333333335,11,2016,19.055,36.24,NA
S12000014,2014-2017,24.29,All,All,All,All,All,-0.17999999999999972,Falkirk,3411.5794392523367,15,2016,16.945,17.545,NA
S12000039,2014-2017,24.43,All,All,All,All,All,0.060000000000002274,West Dunbartonshire,2332.884297520661,2,2016,13.16,29.915,NA
S12000020,2014-2017,24.47,All,All,All,All,All,-0.5700000000000003,Moray,4172.103174603175,25,2016,15.299999999999999,15.81,NA
S12000040,2014-2017,24.48,All,All,All,All,All,-0.10000000000000142,West Lothian,3395.694560669456,13,2016,11.755,18.165,NA
S12000036,2014-2017,24.39,All,All,All,All,All,-0.639999999999997,City of Edinburgh,4402.137353433835,28,2016,13.48,19.585,NA
S12000038,2014-2017,24.17,All,All,All,All,All,-0.6799999999999997,Renfrewshire,3228.76,10,2016,11.305,24.645,NA
S12000041,2014-2017,24.36,All,All,All,All,All,-0.28999999999999915,Angus,3978.632258064516,21,2016,10.565,15.675,NA
S12000018,2014-2017,24.01,All,All,All,All,All,-0.1999999999999993,Inverclyde,2609.4824561403507,5,2016,12.600000000000001,31.98,NA
S12000019,2014-2017,25.05,All,All,All,All,All,-1.4100000000000001,Midlothian,3402.365217391304,14,2016,15.120000000000001,17.255000000000003,NA
S12000017,2014-2017,24.62,All,All,All,All,All,-0.5399999999999991,Highland,3728.647435897436,19,2016,18.015,20.625,NA
S12000029,2014-2017,24.39,All,All,All,All,All,0.14000000000000057,South Lanarkshire,3183.357308584687,9,2016,12.07,22.815,NA
S12000027,2014-2017,24.95,All,All,All,All,All,-0.620000000000001,Shetland Islands,4266.233333333334,26,2016,5.199999999999999,11.32,NA
S12000021,2014-2017,24.09,All,All,All,All,All,-0.5599999999999987,North Ayrshire,2592.8602150537636,3,2016,15.765,21.875,NA
S12000035,2014-2017,25.2,All,All,All,All,All,0.2799999999999976,Argyll and Bute,3555,18,2016,13.3,21.22,NA
S12000030,2014-2017,24.49,All,All,All,All,All,-0.8500000000000014,Stirling,4147.082644628099,23,2016,10.71,16.2,NA
S12000033,2014-2017,24.53,All,All,All,All,All,0.0400000000000027,Aberdeen City,4432.063604240283,29,2016,13.78,19.935,NA
S12000034,2014-2017,24.85,All,All,All,All,All,0.3099999999999987,Aberdeenshire,4883.967647058824,30,2016,11.635,9.43,NA
S12000042,2014-2017,23.83,All,All,All,All,All,0.14000000000000057,Dundee City,2785.2659574468084,7,2016,20.125,28.715,NA
S12000045,2014-2017,24.68,All,All,All,All,All,-0.4399999999999977,East Dunbartonshire,4941.423076923077,31,2016,9.084999999999999,12.085,NA
S12000026,2014-2017,24.55,All,All,All,All,All,-0.5199999999999996,Scottish Borders,3784.769230769231,20,2016,12.27,12.725,NA
S12000023,2014-2017,25.67,All,All,All,All,All,-1.75,Orkney Islands,4153.620689655172,24,2016,21.575,18.72,NA
S12000028,2014-2017,24.11,All,All,All,All,All,0.21000000000000085,South Ayrshire,3390.248366013072,12,2016,11.885000000000002,15.215,NA
S12000047,2014-2017,24.49,All,All,All,All,All,-0.4499999999999993,Fife,3496.074898785425,17,2016,13.505,17.22,NA
S12000048,2014-2017,24.33,All,All,All,All,All,-0.9299999999999997,Perth and Kinross,4288,27,2016,13.59,14.995000000000001,NA
S12000049,2014-2017,23.76,All,All,All,All,All,-0.6099999999999994,Glasgow City,2219.0040214477212,1,2016,14.39,33.64,NA
S12000050,2014-2017,24.57,All,All,All,All,All,0.019999999999999574,North Lanarkshire,2594.8993288590605,4,2016,12.905000000000001,30.71,NA
