feature_code,date_code,type_of_tenure,household_type,age,gender,limiting_cond,la_name,lower_ci,upper_ci,mean
S12000040,2015,All,All,All,All,All,West Lothian,24.12,25.68,24.9
S12000029,2015,All,All,All,All,All,South Lanarkshire,23.85,24.49,24.17
S12000039,2015,All,All,All,All,All,West Dunbartonshire,24.02,24.89,24.46
S12000008,2016,All,All,16-34 years,All,All,East Ayrshire,23.2,25.66,24.43
S12000048,2016,All,All,35-64 years,All,All,Perth and Kinross,23.87,25.04,24.45
S12000033,2015,Owned Mortgage/Loan,All,All,All,All,Aberdeen City,23.91,25.21,24.56
S12000035,2015,All,All,All,All,All,Argyll and Bute,24.7,25.63,25.16
S12000036,2015,All,All,All,All,All,City of Edinburgh,24.37,24.97,24.67
S12000038,2015,All,All,All,All,All,Renfrewshire,24.05,24.81,24.43
S12000033,2015,All,All,All,All,All,Aberdeen City,24.31,25.07,24.69
S12000005,2015,Rented,All,All,All,All,Clackmannanshire,22.15,23.64,22.89
S12000006,2015,Owned Outright,All,All,All,All,Dumfries and Galloway,24.53,25.85,25.19
S12000028,2015,All,All,All,All,All,South Ayrshire,23.5,24.51,24
S12000030,2015,All,All,All,All,All,Stirling,23.99,24.84,24.41
S12000034,2015,All,All,All,All,All,Aberdeenshire,24.65,25.42,25.04
S12000006,2016,All,All,35-64 years,All,All,Dumfries and Galloway,23.22,24.44,23.83
S12000035,2015,Owned Outright,All,All,All,All,Argyll and Bute,25.17,26.55,25.86
S12000033,2015,Owned Outright,All,All,All,All,Aberdeen City,24.76,25.79,25.27
S12000038,2015,Owned Mortgage/Loan,All,All,All,All,Renfrewshire,24.18,25.44,24.81
S12000027,2016,All,All,16-34 years,All,All,Shetland Islands,23.84,25.63,24.74
S12000018,2016,All,All,16-34 years,All,All,Inverclyde,22.4,24.73,23.57
S12000036,2016,All,Pensioners,All,All,All,City of Edinburgh,23.67,24.49,24.08
S12000041,2015,Owned Outright,All,All,All,All,Angus,24.52,26.48,25.5
S12000039,2016,All,Pensioners,All,All,All,West Dunbartonshire,22.88,24.88,23.88
S12000040,2015,Owned Outright,All,All,All,All,West Lothian,24.29,26.08,25.18
S12000006,2016,All,All,16-34 years,All,All,Dumfries and Galloway,23.53,25.14,24.34
S12000033,2016,All,Adults,All,All,All,Aberdeen City,23.83,24.8,24.32
S12000018,2016,All,All,35-64 years,All,All,Inverclyde,23.69,25.28,24.49
S12000036,2015,Owned Outright,All,All,All,All,City of Edinburgh,24.65,25.7,25.18
S12000042,2015,Owned Outright,All,All,All,All,Dundee City,23.98,25.94,24.96
S12000048,2016,All,All,16-34 years,All,All,Perth and Kinross,23.23,25.93,24.58
S12000045,2015,Owned Mortgage/Loan,All,All,All,All,East Dunbartonshire,23.92,25.64,24.78
S12000033,2016,All,Pensioners,All,All,All,Aberdeen City,24.58,25.97,25.28
S12000033,2016,All,With Children,All,All,All,Aberdeen City,23.77,25.01,24.39
S12000026,2016,All,All,16-34 years,All,All,Scottish Borders,23.39,26.15,24.77
S12000038,2015,Owned Outright,All,All,All,All,Renfrewshire,24.24,25.51,24.88
S12000036,2016,All,With Children,All,All,All,City of Edinburgh,23.55,24.49,24.02
S12000034,2016,All,Adults,All,All,All,Aberdeenshire,23.85,24.93,24.39
S12000013,2016,All,All,35-64 years,All,All,Na h-Eileanan Siar,24.11,25.93,25.02
S12000041,2016,All,Pensioners,All,All,All,Angus,23.51,24.76,24.14
S12000008,2016,All,All,35-64 years,All,All,East Ayrshire,22.92,24.09,23.51
S12000040,2016,All,Adults,All,All,All,West Lothian,24.61,26,25.31
S12000050,2014,All,Pensioners,All,All,All,North Lanarkshire,23.39,24.67,24.03
S12000047,2016-2017,All,All,All,All,All,Fife,24.28,24.75,24.52
S92000003,2016,All,All,16-64 years,All,All,Scotland,24.16,24.34,24.25
S12000047,2016,All,All,16-64 years,All,All,Fife,24.5,25.29,24.9
S12000008,2015,All,All,All,All,All,East Ayrshire,23.22,24.05,23.63
S12000048,2016,All,All,16-64 years,All,All,Perth and Kinross,23.89,25.11,24.5
S12000006,2015,All,All,All,All,All,Dumfries and Galloway,23.94,24.8,24.37
S12000017,2016,All,All,16-64 years,All,All,Highland,24.16,24.98,24.57
S12000018,2016,All,All,16-64 years,All,All,Inverclyde,23.49,24.82,24.16
S12000019,2016,All,All,16-64 years,All,All,Midlothian,24.04,25.28,24.66
S12000023,2016,All,All,16-64 years,All,All,Orkney Islands,24.26,26.52,25.39
S12000021,2016,All,All,16-64 years,All,All,North Ayrshire,23.71,24.81,24.26
S12000019,2015,All,All,All,All,All,Midlothian,25.69,26.99,26.34
S12000021,2015,All,All,All,All,All,North Ayrshire,24.12,25.05,24.59
S12000050,2014,All,With Children,All,All,All,North Lanarkshire,25.17,26.6,25.89
S12000042,2015,All,All,All,All,All,Dundee City,24.07,25.37,24.72
S12000041,2015,All,All,All,All,All,Angus,23.92,25.1,24.51
S12000045,2015,All,All,All,All,All,East Dunbartonshire,24.07,25,24.53
S12000005,2015,Owned Mortgage/Loan,All,All,All,All,Clackmannanshire,23.46,25.37,24.42
S92000003,2015,All,All,All,All,All,Scotland,24.32,24.48,24.4
S12000005,2015,Owned Outright,All,All,All,All,Clackmannanshire,24.33,26.15,25.24
S12000006,2015,Owned Mortgage/Loan,All,All,All,All,Dumfries and Galloway,23.29,24.88,24.08
S12000008,2015,Owned Outright,All,All,All,All,East Ayrshire,23.03,24.36,23.69
S12000006,2015,Rented,All,All,All,All,Dumfries and Galloway,22.83,24.34,23.59
S12000050,2014,All,Adults,All,All,All,North Lanarkshire,23.49,24.65,24.07
S12000042,2016,All,All,16-64 years,All,All,Dundee City,22.87,23.87,23.37
S12000010,2015,All,All,All,All,All,East Lothian,24.78,25.91,25.35
S12000040,2016,All,All,16-64 years,All,All,West Lothian,24.39,25.47,24.93
S12000045,2016,All,All,16-64 years,All,All,East Dunbartonshire,24.57,25.76,25.17
S12000041,2016,All,All,16-64 years,All,All,Angus,23.61,24.77,24.19
S12000005,2015,All,All,All,All,All,Clackmannanshire,23.61,24.75,24.18
S12000030,2016,All,All,35-64 years,All,All,Stirling,23.67,25.09,24.38
S12000030,2015,Rented,All,All,All,All,Stirling,22.12,23.86,22.99
S12000028,2016,All,All,16-34 years,All,All,South Ayrshire,23.11,25.7,24.4
S12000039,2015,Owned Outright,All,All,All,All,West Dunbartonshire,23.62,25.47,24.54
S12000039,2016,All,Adults,All,All,All,West Dunbartonshire,24.73,26.19,25.46
S12000035,2015,Owned Mortgage/Loan,All,All,All,All,Argyll and Bute,24.68,26.52,25.6
S12000035,2015,Rented,All,All,All,All,Argyll and Bute,23.5,24.81,24.16
S12000028,2016,All,All,35-64 years,All,All,South Ayrshire,23.39,24.97,24.18
S12000042,2016,All,With Children,All,All,All,Dundee City,22.75,24.54,23.64
S12000030,2016,All,With Children,All,All,All,Stirling,23.15,24.94,24.05
S12000038,2016,All,Adults,All,All,All,Renfrewshire,23.23,24.28,23.76
S12000017,2016,All,All,35-64 years,All,All,Highland,24.07,25.02,24.54
S12000039,2016,All,With Children,All,All,All,West Dunbartonshire,23.51,25.37,24.44
S12000047,2016,All,All,35-64 years,All,All,Fife,24.27,25.14,24.7
S12000039,2015,Owned Mortgage/Loan,All,All,All,All,West Dunbartonshire,24.6,26.52,25.56
S12000028,2016,All,Pensioners,All,All,All,South Ayrshire,23.7,25.24,24.47
S12000033,2016,All,All,16-34 years,All,All,Aberdeen City,23.65,24.67,24.16
S12000047,2016,All,All,16-34 years,All,All,Fife,24.52,25.94,25.23
S12000038,2015,Rented,All,All,All,All,Renfrewshire,23.1,24.42,23.76
S12000029,2016,All,All,16-34 years,All,All,South Lanarkshire,23.22,25.05,24.13
S12000045,2016,All,Adults,All,All,All,East Dunbartonshire,24.17,25.81,24.99
S92000003,2016,All,Adults,All,All,All,Scotland,24.08,24.31,24.19
S92000003,2016,All,Pensioners,All,All,All,Scotland,24.37,24.61,24.49
S12000038,2016,All,Pensioners,All,All,All,Renfrewshire,23.71,25.03,24.37
S12000030,2015,Owned Outright,All,All,All,All,Stirling,24.56,26.11,25.33
S12000029,2016,All,Adults,All,All,All,South Lanarkshire,23.78,25.08,24.43
S12000041,2015,Owned Mortgage/Loan,All,All,All,All,Angus,23.05,25.03,24.04
S12000045,2016,All,Pensioners,All,All,All,East Dunbartonshire,24.07,25.63,24.85
S12000029,2015,Rented,All,All,All,All,South Lanarkshire,22.36,23.6,22.98
S12000005,2017,All,All,16-64 years,All,All,Clackmannanshire,23.84,24.94,24.39
S12000014,2016-2017,All,All,All,All,All,Falkirk,23.81,24.41,24.11
S12000006,2016-2017,All,All,All,All,All,Dumfries and Galloway,24.02,24.63,24.32
S12000050,2017,All,All,All,Female,All,North Lanarkshire,23.96,24.94,24.45
S12000027,2016,All,All,35-64 years,All,All,Shetland Islands,23.91,25.31,24.61
S12000014,2016,All,All,16-34 years,All,All,Falkirk,23.38,25.21,24.3
S12000030,2015,Owned Mortgage/Loan,All,All,All,All,Stirling,24.23,25.46,24.84
S12000045,2015,Rented,All,All,All,All,East Dunbartonshire,22.86,24.48,23.67
S12000030,2016,All,Pensioners,All,All,All,Stirling,23.52,25.1,24.31
S12000005,2016,All,All,35-64 years,All,All,Clackmannanshire,22.79,24.01,23.4
S12000030,2016,All,Adults,All,All,All,Stirling,23.19,25.48,24.34
S12000050,2015,All,All,All,All,All,North Lanarkshire,24.42,25.29,24.85
S12000042,2016,All,Pensioners,All,All,All,Dundee City,23.14,24.61,23.87
S12000039,2015,Rented,All,All,All,All,West Dunbartonshire,23.19,24.34,23.76
S12000041,2015,Rented,All,All,All,All,Angus,23.19,24.91,24.05
S12000035,2016,All,Pensioners,All,All,All,Argyll and Bute,24.65,25.92,25.29
