la_code,la_name,date_code,measurement,units,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,A 5 minute walk or less,Within a 6-10 minute walk,An 11 minute walk or more,Don't Know
S12000047,Fife,2013,Percent,Percent Of Adults,All,Female,All,All,All,All,All,79,10,8,2
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,63,20,16,1
S12000027,Shetland Islands,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,85,8,7,0
S12000027,Shetland Islands,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,81,9,10,NA
S12000030,Stirling,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,21,2,1
S12000047,Fife,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,72,19,8,1
S12000027,Shetland Islands,2017,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,78,15,7,NA
S12000027,Shetland Islands,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,91,6,3,0
S12000027,Shetland Islands,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,85,6,8,0
S12000027,Shetland Islands,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,83,9,8,0
S12000027,Shetland Islands,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,80,11,8,NA
S12000048,Perth and Kinross,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,72,15,13,NA
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,82,15,2,1
S12000048,Perth and Kinross,2015,Percent,Percent Of Adults,All,Male,All,All,All,All,All,76,13,11,1
S12000030,Stirling,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,74,24,1,NA
S12000030,Stirling,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,74,20,4,2
S12000029,South Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,61,19,18,1
S12000030,Stirling,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,77,20,2,1
S12000034,Aberdeenshire,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,15,18,NA
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,Female,All,All,All,All,All,82,12,6,0
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,87,11,1,NA
S12000029,South Lanarkshire,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,68,19,12,0
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,82,13,4,1
S12000021,North Ayrshire,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,64,18,18,NA
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,60,21,18,1
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,59,24,17,0
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,56,24,18,2
S12000029,South Lanarkshire,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,69,18,12,1
S12000010,East Lothian,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,85,8,6,NA
S12000011,East Renfrewshire,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,54,30,15,1
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,58,26,15,1
S12000027,Shetland Islands,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,85,8,8,NA
S12000027,Shetland Islands,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,81,8,11,1
S12000005,Clackmannanshire,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,67,16,16,1
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,54,22,22,2
S12000006,Dumfries and Galloway,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,84,9,7,0
S12000029,South Lanarkshire,2015,Percent,Percent Of Adults,All,Male,All,All,All,All,All,63,25,12,NA
S12000030,Stirling,2014,Percent,Percent Of Adults,All,All,All,All,All,All,All,84,11,4,1
S12000030,Stirling,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,83,12,4,1
S12000030,Stirling,2014,Percent,Percent Of Adults,All,Female,All,All,All,All,All,82,12,5,1
S12000033,Aberdeen City,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,58,24,17,2
S12000023,Orkney Islands,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,69,9,21,1
S12000033,Aberdeen City,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,80,14,5,1
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,44,15,35,5
S12000033,Aberdeen City,2014,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,76,14,9,1
