"","country","life_expect_2","year","life_expect_4"
"1","Scotland",0,"1991_1993",77.12
"2","Scotland",0,"1992_1994",77.31
"3","Scotland",0,"1993_1995",77.44
"4","Scotland",0,"1994_1996",77.73
"5","Scotland",0,"1995_1997",77.85
"6","Scotland",0,"1996_1998",78.04
"7","Scotland",0,"1997_1999",78.18
"8","Scotland",0,"1998_2000",78.35
"9","Scotland",0,"1999_2001",78.56
"10","Scotland",0,"2000_2002",78.78
"11","Scotland",0,"2001_2003",78.86
"12","Scotland",0,"2002_2004",79.05
"13","Scotland",0,"2003_2005",79.24
"14","Scotland",0,"2004_2006",79.54
"15","Scotland",0,"2005_2007",79.68
"16","Scotland",0,"2006_2008",79.83
"17","Scotland",0,"2007_2009",80.07
"18","Scotland",0,"2008_2010",80.32
"19","Scotland",0,"2009_2011",80.61
"20","Scotland",0,"2010_2012",80.74
"21","Scotland",0,"2011_2013",80.89
"22","Scotland",0,"2012_2014",81.06
"23","Scotland",0,"2013_2015",81.14
"24","Scotland",0,"2014_2016",81.14
"25","Scotland",0,"2015_2017",81.05
"26","Scotland",0,"2016_2018",81.07
"27","Scotland",0,"2017_2019",81.13
"28","England",0,"1991_1993",78.98
"29","England",0,"1992_1994",79.23
"30","England",0,"1993_1995",79.33
"31","England",0,"1994_1996",79.52
"32","England",0,"1995_1997",79.58
"33","England",0,"1996_1998",79.74
"34","England",0,"1997_1999",79.9
"35","England",0,"1998_2000",80.12
"36","England",0,"1999_2001",80.34
"37","England",0,"2000_2002",80.57
"38","England",0,"2001_2003",80.68
"39","England",0,"2002_2004",80.89
"40","England",0,"2003_2005",81.12
"41","England",0,"2004_2006",81.47
"42","England",0,"2005_2007",81.68
"43","England",0,"2006_2008",81.85
"44","England",0,"2007_2009",82.09
"45","England",0,"2008_2010",82.33
"46","England",0,"2009_2011",82.67
"47","England",0,"2010_2012",82.83
"48","England",0,"2011_2013",82.96
"49","England",0,"2012_2014",83.05
"50","England",0,"2013_2015",83.06
"51","England",0,"2014_2016",83.1
"52","England",0,"2015_2017",83.1
"53","England",0,"2016_2018",83.18
"54","England",0,"2017_2019",83.33
"55","Northern Ireland",0,"1991_1993",78.56
"56","Northern Ireland",0,"1992_1994",78.69
"57","Northern Ireland",0,"1993_1995",78.65
"58","Northern Ireland",0,"1994_1996",78.94
"59","Northern Ireland",0,"1995_1997",79.16
"60","Northern Ireland",0,"1996_1998",79.49
"61","Northern Ireland",0,"1997_1999",79.46
"62","Northern Ireland",0,"1998_2000",79.55
"63","Northern Ireland",0,"1999_2001",79.75
"64","Northern Ireland",0,"2000_2002",80.13
"65","Northern Ireland",0,"2001_2003",80.42
"66","Northern Ireland",0,"2002_2004",80.55
"67","Northern Ireland",0,"2003_2005",80.82
"68","Northern Ireland",0,"2004_2006",80.96
"69","Northern Ireland",0,"2005_2007",81.18
"70","Northern Ireland",0,"2006_2008",81.2
"71","Northern Ireland",0,"2007_2009",81.32
"72","Northern Ireland",0,"2008_2010",81.43
"73","Northern Ireland",0,"2009_2011",81.84
"74","Northern Ireland",0,"2010_2012",82.12
"75","Northern Ireland",0,"2011_2013",82.29
"76","Northern Ireland",0,"2012_2014",82.29
"77","Northern Ireland",0,"2013_2015",82.27
"78","Northern Ireland",0,"2014_2016",82.29
"79","Northern Ireland",0,"2015_2017",82.3
"80","Northern Ireland",0,"2016_2018",82.38
"81","Northern Ireland",0,"2017_2019",82.55
"82","Wales",0,"1991_1993",78.78
"83","Wales",0,"1992_1994",78.94
"84","Wales",0,"1993_1995",78.94
"85","Wales",0,"1994_1996",79.07
"86","Wales",0,"1995_1997",79.05
"87","Wales",0,"1996_1998",79.25
"88","Wales",0,"1997_1999",79.34
"89","Wales",0,"1998_2000",79.58
"90","Wales",0,"1999_2001",79.73
"91","Wales",0,"2000_2002",80.01
"92","Wales",0,"2001_2003",80.11
"93","Wales",0,"2002_2004",80.33
"94","Wales",0,"2003_2005",80.56
"95","Wales",0,"2004_2006",80.93
"96","Wales",0,"2005_2007",81.09
"97","Wales",0,"2006_2008",81.23
"98","Wales",0,"2007_2009",81.4
"99","Wales",0,"2008_2010",81.66
"100","Wales",0,"2009_2011",82.01
"101","Wales",0,"2010_2012",82.09
"102","Wales",0,"2011_2013",82.19
"103","Wales",0,"2012_2014",82.29
"104","Wales",0,"2013_2015",82.26
"105","Wales",0,"2014_2016",82.36
"106","Wales",0,"2015_2017",82.28
"107","Wales",0,"2016_2018",82.33
"108","Wales",0,"2017_2019",82.33
"109","United Kingdom",0,"1991_1993",78.78
"110","United Kingdom",0,"1992_1994",79.02
"111","United Kingdom",0,"1993_1995",79.11
"112","United Kingdom",0,"1994_1996",79.31
"113","United Kingdom",0,"1995_1997",79.38
"114","United Kingdom",0,"1996_1998",79.55
"115","United Kingdom",0,"1997_1999",79.7
"116","United Kingdom",0,"1998_2000",79.91
"117","United Kingdom",0,"1999_2001",80.12
"118","United Kingdom",0,"2000_2002",80.36
"119","United Kingdom",0,"2001_2003",80.47
"120","United Kingdom",0,"2002_2004",80.68
"121","United Kingdom",0,"2003_2005",80.91
"122","United Kingdom",0,"2004_2006",81.24
"123","United Kingdom",0,"2005_2007",81.44
"124","United Kingdom",0,"2006_2008",81.61
"125","United Kingdom",0,"2007_2009",81.84
"126","United Kingdom",0,"2008_2010",82.08
"127","United Kingdom",0,"2009_2011",82.42
"128","United Kingdom",0,"2010_2012",82.57
"129","United Kingdom",0,"2011_2013",82.71
"130","United Kingdom",0,"2012_2014",82.8
"131","United Kingdom",0,"2013_2015",82.82
"132","United Kingdom",0,"2014_2016",82.86
"133","United Kingdom",0,"2015_2017",82.85
"134","United Kingdom",0,"2016_2018",82.92
"135","United Kingdom",0,"2017_2019",83.06
