indicator,sex,la_name,la_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Alcohol problem drinking,males,Dumfries and Galloway,S12000006,Council area,2014,4-year aggregate (2012 - 2015),NA,20.46,14.82,27.55,Percentage,Scottish Health Survey
Alcohol problem drinking,males,East Ayrshire,S12000008,Council area,2014,4-year aggregate (2012 - 2015),NA,27.18,20.8,34.67,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Na h-Eileanan Siar,S12000013,Council area,2014,4-year aggregate (2012 - 2015),NA,19.45,15.65,23.9,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Fife,S12000047,Council area,2014,4-year aggregate (2012 - 2015),NA,24.83,21.07,29.01,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Highland,S12000017,Council area,2014,4-year aggregate (2012 - 2015),NA,19.87,14.53,26.56,Percentage,Scottish Health Survey
Alcohol problem drinking,males,North Ayrshire,S12000021,Council area,2014,4-year aggregate (2012 - 2015),NA,24.36,18.26,31.69,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Orkney Islands,S12000023,Council area,2014,4-year aggregate (2012 - 2015),NA,26.23,20.49,32.9,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Scottish Borders,S12000026,Council area,2014,4-year aggregate (2012 - 2015),NA,20.66,15.91,26.38,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Shetland Islands,S12000027,Council area,2014,4-year aggregate (2012 - 2015),NA,30.16,24.42,36.6,Percentage,Scottish Health Survey
Alcohol problem drinking,males,South Ayrshire,S12000028,Council area,2014,4-year aggregate (2012 - 2015),NA,20.68,16.55,25.52,Percentage,Scottish Health Survey
Alcohol problem drinking,males,South Lanarkshire,S12000029,Council area,2014,4-year aggregate (2012 - 2015),NA,23.22,18.08,29.31,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Aberdeen City,S12000033,Council area,2014,4-year aggregate (2012 - 2015),NA,28.95,23.82,34.68,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Aberdeenshire,S12000034,Council area,2014,4-year aggregate (2012 - 2015),NA,17.14,13.68,21.25,Percentage,Scottish Health Survey
Alcohol problem drinking,males,City of Edinburgh,S12000036,Council area,2014,4-year aggregate (2012 - 2015),NA,26.87,21.9,32.49,Percentage,Scottish Health Survey
Alcohol problem drinking,males,North Lanarkshire,S12000050,Council area,2014,4-year aggregate (2012 - 2015),NA,25.1,20.43,30.43,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Glasgow City,S12000049,Council area,2014,4-year aggregate (2012 - 2015),NA,31.28,26.69,36.28,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Dumfries and Galloway,S12000006,Council area,2015,4-year aggregate (2013 - 2016),NA,25.38,17.87,34.71,Percentage,Scottish Health Survey
Alcohol problem drinking,males,East Ayrshire,S12000008,Council area,2015,4-year aggregate (2013 - 2016),NA,25.75,21.21,30.87,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Na h-Eileanan Siar,S12000013,Council area,2015,4-year aggregate (2013 - 2016),NA,18.74,14.47,23.91,Percentage,Scottish Health Survey
Alcohol problem drinking,males,Fife,S12000047,Council area,2015,4-year aggregate (2013 - 2016),NA,23.2,19.5,27.38,Percentage,Scottish Health Survey
