indicator,sex,la_name,la_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Alcohol-specific deaths,females,Clackmannanshire,S12000005,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.4,12.27,2.8,33.84,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Dumfries and Galloway,S12000006,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7,8.33,3.25,17.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Ayrshire,S12000008,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7,10.59,4.22,21.85,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Lothian,S12000010,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.2,7.51,2.09,18.86,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Renfrewshire,S12000011,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.6,9,2.71,21.74,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Na h-Eileanan Siar,S12000013,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.2,21.19,4.51,60.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Falkirk,S12000014,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8,9.52,4.09,18.79,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Highland,S12000017,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,11.8,9.2,4.69,16.2,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Inverclyde,S12000018,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7.4,16.97,6.95,34.41,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Midlothian,S12000019,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.6,10.3,3.09,24.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Moray,S12000020,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.6,6.91,1.68,18.57,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,North Ayrshire,S12000021,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.6,13.67,6.68,24.77,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Orkney Islands,S12000023,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,1.8,15.52,1.31,59.87,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Scottish Borders,S12000026,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.8,7.13,2.22,16.93,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Shetland Islands,S12000027,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,0,0,0,0,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
