reference_code,reference_area,year,admissions_count
S92000003,Scotland,2002,65946
S92000003,Scotland,2003,68519
S92000003,Scotland,2004,66845
S92000003,Scotland,2005,72674
S92000003,Scotland,2006,75728
S92000003,Scotland,2007,80778
S92000003,Scotland,2008,82964
S92000003,Scotland,2009,82285
S92000003,Scotland,2010,80303
S92000003,Scotland,2011,84232
S92000003,Scotland,2012,91737
S12000033,Aberdeen City,2002,2812
S12000033,Aberdeen City,2003,3043
S12000033,Aberdeen City,2004,3040
S12000033,Aberdeen City,2005,3057
S12000033,Aberdeen City,2006,3187
S12000033,Aberdeen City,2007,3356
S12000033,Aberdeen City,2008,3398
S12000033,Aberdeen City,2009,3400
S12000033,Aberdeen City,2010,3322
S12000033,Aberdeen City,2011,3180
S12000033,Aberdeen City,2012,3339
S12000034,Aberdeenshire,2002,2558
S12000034,Aberdeenshire,2003,2649
S12000034,Aberdeenshire,2004,2532
S12000034,Aberdeenshire,2005,2870
S12000034,Aberdeenshire,2006,2838
S12000034,Aberdeenshire,2007,2979
S12000034,Aberdeenshire,2008,3069
S12000034,Aberdeenshire,2009,3041
S12000034,Aberdeenshire,2010,3031
S12000034,Aberdeenshire,2011,2918
S12000034,Aberdeenshire,2012,3267
S12000041,Angus,2002,1246
S12000041,Angus,2003,1351
S12000041,Angus,2004,1383
S12000041,Angus,2005,1361
S12000041,Angus,2006,1663
S12000041,Angus,2007,1693
S12000041,Angus,2008,1729
S12000041,Angus,2009,1754
S12000041,Angus,2010,1623
S12000041,Angus,2011,1634
S12000041,Angus,2012,1783
S12000035,Argyll and Bute,2002,1115
S12000035,Argyll and Bute,2003,1115
S12000035,Argyll and Bute,2004,1116
S12000035,Argyll and Bute,2005,1125
S12000035,Argyll and Bute,2006,1148
S12000035,Argyll and Bute,2007,1166
S12000035,Argyll and Bute,2008,1195
S12000035,Argyll and Bute,2009,1221
S12000035,Argyll and Bute,2010,1180
S12000035,Argyll and Bute,2011,1140
S12000035,Argyll and Bute,2012,1176
S12000036,City of Edinburgh,2002,4871
S12000036,City of Edinburgh,2003,5268
S12000036,City of Edinburgh,2004,5209
S12000036,City of Edinburgh,2005,5751
S12000036,City of Edinburgh,2006,5958
S12000036,City of Edinburgh,2007,6129
S12000036,City of Edinburgh,2008,6042
S12000036,City of Edinburgh,2009,6087
S12000036,City of Edinburgh,2010,5743
S12000036,City of Edinburgh,2011,6276
S12000036,City of Edinburgh,2012,6764
S12000005,Clackmannanshire,2002,447
S12000005,Clackmannanshire,2003,527
S12000005,Clackmannanshire,2004,464
S12000005,Clackmannanshire,2005,548
S12000005,Clackmannanshire,2006,650
S12000005,Clackmannanshire,2007,622
S12000005,Clackmannanshire,2008,776
S12000005,Clackmannanshire,2009,642
S12000005,Clackmannanshire,2010,659
S12000005,Clackmannanshire,2011,580
S12000005,Clackmannanshire,2012,727
S12000006,Dumfries and Galloway,2002,2124
S12000006,Dumfries and Galloway,2003,2212
S12000006,Dumfries and Galloway,2004,1944
