la_code,la_name,date_code,measurement,units,sex,Alcohol consumption (mean weekly units),Alcohol consumption: Hazardous/Harmful drinker,Alcohol consumption: Moderate drinker,Alcohol consumption: Non-drinker,Any cardiovascular condition: Has a cardiovascular condition,Any cardiovascular condition: No cardiovascular condition,Doctor-diagnosed asthma: No,Doctor-diagnosed asthma: Yes,E-cigarette use: Currently using,E-cigarette use: Ever previously used,E-cigarette use: Never used,Fruit & vegetable consumption (mean daily portions),Fruit & vegetable consumption: 5 portions or more,Fruit & vegetable consumption: Less than 5 portions,Fruit & vegetable consumption: None,General health questionnaire (GHQ-12): Score 0,General health questionnaire (GHQ-12): Score 1-3,General health questionnaire (GHQ-12): Score 4+,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Life satisfaction: Mode (8),Long-term illness: Limiting long-term illness,Long-term illness: No long-term illness,Long-term illness: Non-limiting long-term illness,Mental wellbeing,Obesity: Not obese,Obesity: Obese,Overweight: Not overweight or obese,Overweight: Overweight (including obese),"Provide any regular help or care for any sick, disabled or frail person: No","Provide any regular help or care for any sick, disabled or frail person: Yes",Self-assessed general health: Bad/Very bad,Self-assessed general health: Fair,Self-assessed general health: Very good/Good,Smoking status: Current smoker,Smoking status: Never smoked/Used to smoke occasionally,Smoking status: Used to smoke regularly,Summary activity levels: Low activity,Summary activity levels: Meets recommendations,Summary activity levels: Some activity,Summary activity levels: Very low activity
S12000047,Fife,2016-2019,Percent,Percent Of Adults,Female,NA,18,67,15,14,86,80,20,9,11,81,NA,23,68,9,53,27,20,36,35,29,40,46,14,NA,66,34,33,67,85,15,10,21,69,18,56,26,5,58,12,25
S12000027,Shetland Islands,2015-2018,Mean,Units of alcohol,Female,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,Female,NA,11,65,24,14,86,81,19,4,8,88,NA,15,78,7,59,26,15,39,21,40,33,52,15,NA,65,35,34,66,85,15,4,20,75,14,65,21,4,60,12,24
S12000047,Fife,2015-2018,Percent,Percent Of Adults,Female,NA,16,66,18,15,85,NA,NA,9,10,82,NA,24,67,9,55,28,17,NA,NA,NA,37,49,14,NA,68,32,34,66,NA,NA,9,20,71,19,58,23,5,58,13,24
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,Female,NA,14,64,22,11,89,NA,NA,2,8,90,NA,17,76,7,56,25,18,NA,NA,NA,33,52,16,NA,62,38,32,68,NA,NA,6,18,76,18,62,20,5,58,14,24
S12000027,Shetland Islands,2016-2019,Mean,WEMWBS Score,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000047,Fife,2016-2019,Mean,WEMWBS Score,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2015-2018,Mean,Portions of fruit & vegetables,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,Female,NA,16,66,18,20,80,NA,NA,NA,NA,NA,NA,17,75,7,NA,NA,NA,NA,NA,NA,47,42,10,NA,NA,NA,NA,NA,NA,NA,11,18,72,16,60,24,3,57,12,28
S12000047,Fife,2016-2019,Mean,Units of alcohol,Female,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2016-2019,Mean,Units of alcohol,Female,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2016-2019,Mean,Portions of fruit & vegetables,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000047,Fife,2015-2018,Mean,WEMWBS Score,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,2015-2018,Mean,WEMWBS Score,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,Female,NA,17,64,19,11,89,83,17,6,8,85,NA,20,70,10,56,26,18,32,36,32,39,49,11,NA,71,29,34,66,77,23,9,24,67,17,60,24,7,56,13,25
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,Female,NA,17,65,18,11,89,NA,NA,6,9,85,NA,21,68,10,59,22,19,NA,NA,NA,36,51,13,NA,71,29,35,65,NA,NA,9,21,71,17,60,23,6,59,12,23
