la_code,la_name,date_code,measurement,units,value,scottish_health_survey_indicator,sex
S12000047,Fife,2016-2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,69,Self-assessed general health: Very good/Good,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,24,Summary activity levels: Very low activity,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,20,Smoking status: Used to smoke regularly,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,58,Summary activity levels: Meets recommendations,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,64,Alcohol consumption: Moderate drinker,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,6,Self-assessed general health: Bad/Very bad,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,14,Summary activity levels: Some activity,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,40,Life satisfaction: Mode (8),Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,88,E-cigarette use: Never used,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,9,E-cigarette use: Currently using,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,34,Overweight: Not overweight or obese,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,58,Summary activity levels: Meets recommendations,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,89,Any cardiovascular condition: No cardiovascular condition,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,4,Summary activity levels: Low activity,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,76,Fruit & vegetable consumption: Less than 5 portions,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,80,Any cardiovascular condition: No cardiovascular condition,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,18,Self-assessed general health: Fair,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,24,Summary activity levels: Very low activity,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,10,Self-assessed general health: Bad/Very bad,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,71,Self-assessed general health: Very good/Good,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,14,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,90,E-cigarette use: Never used,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,21,Smoking status: Used to smoke regularly,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,2,E-cigarette use: Currently using,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,18,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,21,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,14,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,86,Any cardiovascular condition: No cardiovascular condition,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,15,Fruit & vegetable consumption: 5 portions or more,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,76,Self-assessed general health: Very good/Good,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,46,Long-term illness: No long-term illness,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,49,Long-term illness: No long-term illness,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,33,Overweight: Not overweight or obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,62,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,34,Obesity: Obese,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,24,Alcohol consumption: Non-drinker,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,19,Doctor-diagnosed asthma: Yes,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,34,Overweight: Not overweight or obese,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,66,Overweight: Overweight (including obese),Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,18,Alcohol consumption: Non-drinker,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,86,Any cardiovascular condition: No cardiovascular condition,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,19,Smoking status: Current smoker,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,33,Long-term illness: Limiting long-term illness,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,40,Long-term illness: Limiting long-term illness,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,4,E-cigarette use: Currently using,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,4,Self-assessed general health: Bad/Very bad,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,15,Alcohol consumption: Non-drinker,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,67,Overweight: Overweight (including obese),Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,80,Doctor-diagnosed asthma: No,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,33,Long-term illness: Limiting long-term illness,Female
