year,la_code,la_name,la_simd_mean,la_simd_rank,la_simd_income_mean,la_simd_income_rank,la_simd_employ_mean,la_simd_employ_rank,la_simd_edu_mean,la_simd_edu_rank,la_simd_health_mean,la_simd_health_rank,la_simd_access_mean,la_simd_access_rank,la_simd_crime_mean,la_simd_crime_rank,la_simd_housing_mean,la_simd_housing_rank,la_pop_total,la_pop_total_rank,la_workpop_total,la_workpop_total_rank
2020,S12000033,Aberdeen City,4230.363957597173,27,4263.863957597173,25,4157.814487632509,24,3773.9681978798585,20,4242.102473498233,22,4301.78445229682,29,3315.939929328622,8,2920.4381625441697,6,228800,8,159013,7
2020,S12000034,Aberdeenshire,4674.364705882353,30,4800.075,30,4754.535294117647,31,4379.664705882353,29,5254.411764705882,32,2554.4529411764706,5,4623.64705882353,27,4790.589705882353,29,261800,6,164106,6
2020,S12000041,Angus,3766.3806451612904,20,3786.5935483870967,20,3690.4064516129033,20,3737.9225806451614,19,4117.438709677419,20,3126.238709677419,16,3953.4774193548387,20,4213.716129032258,21,116280,17,70187,17
2020,S12000035,Argyll and Bute,3549.544,18,3728.028,19,3659.604,19,3943.776,23,3863.928,17,2657.344,6,4207.368,25,3501.368,9,86810,27,51810,27
2020,S12000005,Clackmannanshire,3043.347222222222,8,3077.3055555555557,8,2902.9375,8,2884.7916666666665,5,3268.6944444444443,12,3244.0833333333335,20,3177.9444444444443,7,4029.2361111111113,18,51450,29,32380,29
2020,S12000006,Dumfries and Galloway,3374.781094527363,13,3413.870646766169,12,3482.9701492537315,16,3605.0149253731342,16,3631.218905472637,16,2867.716417910448,10,3478.8009950248756,13,4273.537313432836,24,149200,13,88304,14
2020,S12000042,Dundee City,2748.686170212766,6,2712.803191489362,5,2672.023936170213,5,2681.005319148936,4,2626.505319148936,7,4533.202127659574,31,2797.5372340425533,2,2563.997340425532,3,148710,14,98770,12
2020,S12000008,East Ayrshire,2759.1901840490796,7,2810.294478527607,7,2810.9662576687115,7,2907.40490797546,6,2623.0490797546013,6,2781.398773006135,7,3436.7730061349694,10,3903,15,121940,16,76589,16
2020,S12000045,East Dunbartonshire,4899.9384615384615,31,4743.234615384616,29,4672.173076923077,30,5397.661538461539,31,4376.0615384615385,24,3045.5307692307692,14,4686,28,4801.569230769231,30,108130,20,65372,20
2020,S12000010,East Lothian,3813.340909090909,22,3704.382575757576,18,3650.162878787879,18,3776.1969696969695,21,4270.606060606061,23,3137.621212121212,17,3887.1666666666665,19,3852.507575757576,14,104840,21,64933,21
2020,S12000011,East Renfrewshire,5178.581967213115,32,4852.44262295082,32,4879.520491803279,32,5646.368852459016,32,4514.122950819672,27,4046.0163934426228,28,4327.418032786885,26,4841.606557377049,31,94760,23,57037,25
2020,S12000036,City of Edinburgh,4518.948073701843,29,4371.35175879397,27,4502.532663316583,28,4289.541038525963,27,4587.452261306533,29,4513.097152428811,30,2888.7604690117255,3,2687.542713567839,4,513210,2,358090,2
2020,S12000013,Na h-Eileanan Siar,3317.5555555555557,11,3483.2361111111113,14,3584.6944444444443,17,4541.388888888889,30,3865.6388888888887,18,1060.888888888889,1,5575.333333333333,32,4851.819444444444,32,26950,30,15827,30
2020,S12000014,Falkirk,3406.654205607477,14,3480.4556074766356,13,3383.9369158878503,12,3147.621495327103,10,3379.8644859813085,13,3237.5654205607475,19,3363.7102803738317,9,4255.079439252337,23,160130,11,102271,11
2020,S12000047,Fife,3494.251012145749,17,3498.8522267206476,16,3393.5283400809717,13,3358.825910931174,11,3524.453441295547,15,3400.6275303643724,22,3618.1497975708503,16,4359.44028340081,26,371410,3,232485,3
2020,S12000049,Glasgow City,2356.975871313673,1,2210.412198391421,1,2429.540214477212,3,2548.072386058981,2,2223.3163538873996,1,4775.954423592493,32,2322.6246648793567,1,1258.8867292225202,1,621020,1,437911,1
2020,S12000017,Highland,3606.676282051282,19,3795.360576923077,21,3834.5753205128203,22,3605.99358974359,17,4148.929487179487,21,2273.1378205128203,4,4052.926282051282,22,4024.2548076923076,17,235180,7,144586,8
