la_code,la_name,date_code,measurement,units,value,type_of_tenure,household_type,age,gender,limiting_long_term_physical_or_mental_health_condition
S12000040,West Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,All,All,All
S12000029,South Lanarkshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,All,All,All,All
S12000039,West Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.02,All,All,All,All,All
S12000008,East Ayrshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.2,All,All,16-34 years,All,All
S12000048,Perth and Kinross,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.87,All,All,35-64 years,All,All
S12000033,Aberdeen City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.91,Owned Mortgage/Loan,All,All,All,All
S12000035,Argyll and Bute,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.7,All,All,All,All,All
S12000036,City of Edinburgh,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.37,All,All,All,All,All
S12000038,Renfrewshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.05,All,All,All,All,All
S12000033,Aberdeen City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.31,All,All,All,All,All
S12000005,Clackmannanshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.15,Rented,All,All,All,All
S12000006,Dumfries and Galloway,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.53,Owned Outright,All,All,All,All
S12000028,South Ayrshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.5,All,All,All,All,All
S12000030,Stirling,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,All,All,All,All,All
S12000034,Aberdeenshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.65,All,All,All,All,All
S12000006,Dumfries and Galloway,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.22,All,All,35-64 years,All,All
S12000035,Argyll and Bute,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.17,Owned Outright,All,All,All,All
S12000033,Aberdeen City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.76,Owned Outright,All,All,All,All
S12000038,Renfrewshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.18,Owned Mortgage/Loan,All,All,All,All
S12000027,Shetland Islands,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.84,All,All,16-34 years,All,All
S12000018,Inverclyde,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.4,All,All,16-34 years,All,All
S12000036,City of Edinburgh,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.67,All,Pensioners,All,All,All
S12000041,Angus,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.52,Owned Outright,All,All,All,All
S12000039,West Dunbartonshire,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.88,All,Pensioners,All,All,All
S12000040,West Lothian,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,Owned Outright,All,All,All,All
S12000006,Dumfries and Galloway,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.53,All,All,16-34 years,All,All
S12000033,Aberdeen City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.83,All,Adults,All,All,All
S12000018,Inverclyde,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.69,All,All,35-64 years,All,All
S12000036,City of Edinburgh,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.65,Owned Outright,All,All,All,All
S12000042,Dundee City,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.98,Owned Outright,All,All,All,All
S12000048,Perth and Kinross,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.23,All,All,16-34 years,All,All
S12000045,East Dunbartonshire,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.92,Owned Mortgage/Loan,All,All,All,All
S12000033,Aberdeen City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.58,All,Pensioners,All,All,All
S12000033,Aberdeen City,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.77,All,With Children,All,All,All
S12000026,Scottish Borders,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.39,All,All,16-34 years,All,All
