Data_Zone,Intermediate_Zone,Council_area, Total_population, Working_age_population_revised, Overall_SIMD16_rank, Income_domain_2016_rank, Employment_domain_2016_rank, Health_domain_2016_rank, Education_domain_2016_rank, Housing_domain_2016_rank, Access_domain_2016_rank, Crime_domain_2016_rank
S01006506,Culter,Aberdeen City,  904 ,  605 ,"  5,272 ","  4,513 ","  4,260 ","  4,906 ","  5,367 ","  3,248 ","  5,065 ","  5,519 "
S01006507,Culter,Aberdeen City,  830 ,  491 ,"  4,838 ","  4,334 ","  4,830 ","  5,070 ","  4,017 ","  3,486 ","  2,222 ","  6,310 "
S01006508,Culter,Aberdeen City,  694 ,  519 ,"  6,321 ","  5,266 ","  6,101 ","  5,837 ","  6,032 ","  5,342 ","  3,596 ","  6,134 "
S01006509,Culter,Aberdeen City,  573 ,  354 ,"  5,363 ","  5,002 ","  4,599 ","  3,958 ","  4,914 ","  4,395 ","  4,553 ","  6,935 "
S01006510,Culter,Aberdeen City,  676 ,  414 ,"  4,049 ","  3,341 ","  4,055 ","  3,028 ","  3,509 ","  3,736 ","  5,681 ","  3,906 "
S01006511,Culter,Aberdeen City,  781 ,  464 ,"  6,668 ","  5,836 ","  6,125 ","  5,454 ","  5,513 ","  5,924 ","  5,893 ","  6,486 "
S01006512,Culter,Aberdeen City,  528 ,  322 ,"  5,865 ","  6,349 ","  6,714 ","  6,346 ","  6,157 ","  4,814 ",  534 ,"  6,497 "
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,  697 ,  354 ,"  5,845 ","  5,933 ","  6,013 ","  4,326 ","  6,648 ","  6,394 ","  1,419 ","  6,824 "
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,"  1,131 ",  710 ,"  6,808 ","  6,762 ","  6,820 ","  6,670 ","  6,835 ","  6,868 ","  2,016 ","  6,396 "
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,  791 ,  491 ,"  6,322 ","  6,789 ","  6,892 ","  6,716 ","  6,825 ","  6,175 ",  655 ,"  6,269 "
S01006516,"Cults, Bieldside and Milltimber West",Aberdeen City,  572 ,  377 ,"  6,259 ","  6,272 ","  6,169 ","  6,889 ","  6,550 ","  6,570 ","  1,233 ","  5,545 "
S01006517,"Cults, Bieldside and Milltimber West",Aberdeen City,"  1,038 ",  634 ,"  5,843 ","  6,202 ","  5,811 ","  6,034 ","  6,596 ","  5,892 ","  1,075 ","  4,285 "
S01006518,"Cults, Bieldside and Milltimber East",Aberdeen City,  671 ,  392 ,"  6,607 ","  6,749 ","  6,815 ","  6,831 ","  6,958 ","  6,960 ","  1,074 ","  6,638 "
S01006519,"Cults, Bieldside and Milltimber East",Aberdeen City,  904 ,  546 ,"  6,404 ","  6,680 ","  6,525 ","  6,651 ","  6,810 ","  6,856 ",  918 ,"  6,874 "
S01006520,"Cults, Bieldside and Milltimber East",Aberdeen City,  783 ,  508 ,"  6,456 ","  6,967 ","  6,973 ","  6,968 ","  6,972 ","  6,825 ",  625 ,"  6,692 "
S01006521,"Cults, Bieldside and Milltimber East",Aberdeen City,  772 ,  520 ,"  6,517 ","  6,905 ","  6,948 ","  6,940 ","  6,868 ","  6,869 ",  842 ,"  5,469 "
S01006522,"Cults, Bieldside and Milltimber East",Aberdeen City,  628 ,  379 ,"  6,785 ","  6,958 ","  6,952 ","  6,933 ","  6,879 ","  6,841 ","  1,420 ","  6,805 "
S01006523,"Cults, Bieldside and Milltimber East",Aberdeen City,  942 ,  548 ,"  6,496 ","  6,036 ","  6,591 ","  5,507 ","  6,877 ","  6,581 ","  2,236 ","  5,376 "
S01006524,"Cults, Bieldside and Milltimber East",Aberdeen City,"  1,017 ",  584 ,"  3,982 ","  3,531 ","  2,877 ","  4,258 ","  6,300 ","  6,240 ","  2,037 ","  5,709 "
S01006525,"Cults, Bieldside and Milltimber East",Aberdeen City,  849 ,  456 ,"  6,333 ","  5,995 ","  5,754 ","  5,763 ","  6,945 ","  6,260 ","  2,176 ","  6,861 "
S01006526,Garthdee,Aberdeen City,  906 ,  644 ,"  2,599 ","  3,167 ","  3,512 ","  2,515 ","  1,273 ","  1,454 ","  1,466 ","  5,075 "
S01006527,Garthdee,Aberdeen City,  669 ,  440 ,"  1,957 ","  2,442 ","  1,978 ","  1,607 ","  1,513 ","  3,235 ","  2,923 ","  2,175 "
S01006528,Garthdee,Aberdeen City,"  1,056 ",  732 ,"  3,912 ","  3,763 ","  4,688 ","  3,520 ","  2,403 ","  1,723 ","  3,731 ","  2,994 "
S01006529,Garthdee,Aberdeen City,  889 ,  641 ,"  4,128 ","  3,770 ","  4,919 ","  4,175 ","  2,602 ",  945 ,"  5,074 ","  1,722 "
S01006530,Garthdee,Aberdeen City,  794 ,  565 ,"  2,531 ","  2,817 ","  2,733 ","  2,391 ","  1,343 ","  1,627 ","  5,369 ","  2,548 "
S01006531,Garthdee,Aberdeen City,  975 ,  670 ,"  2,240 ","  2,432 ","  2,936 ","  2,052 ","  1,194 ","  1,122 ","  4,672 ","  1,802 "
S01006532,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,  804 ,  448 ,"  6,177 ","  5,569 ","  6,078 ","  5,469 ","  6,307 ","  6,110 ","  3,906 ","  2,711 "
S01006533,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,  772 ,  522 ,"  6,930 ","  6,819 ","  6,767 ","  6,883 ","  6,880 ","  6,946 ","  3,401 ","  5,469 "
S01006534,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,  975 ,  637 ,"  6,908 ","  6,709 ","  6,843 ","  6,749 ","  6,468 ","  6,168 ","  3,725 ","  4,828 "
S01006535,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,"  1,035 ",  822 ,"  6,796 ","  6,181 ","  6,614 ","  6,482 ","  5,914 ","  2,839 ","  5,470 ","  4,601 "
S01006536,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,"  1,071 ",  864 ,"  6,693 ","  6,531 ","  6,657 ","  6,316 ","  5,442 ","  1,197 ","  6,045 ","  2,928 "
S01006537,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,  916 ,  473 ,"  6,538 ","  6,500 ","  6,877 ","  5,163 ","  6,719 ","  6,398 ","  1,721 ","  6,585 "
S01006538,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,  594 ,  352 ,"  6,529 ","  6,457 ","  6,777 ","  6,737 ","  6,670 ","  6,462 ","  1,188 ","  6,569 "
S01006539,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,  777 ,  448 ,"  6,823 ","  6,746 ","  6,785 ","  6,283 ","  6,533 ","  6,328 ","  2,783 ","  5,483 "
S01006540,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,  946 ,  648 ,"  6,427 ","  6,317 ","  6,470 ","  6,502 ","  6,698 ","  4,761 ","  1,783 ","  4,382 "
S01006541,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,  826 ,  432 ,"  6,824 ","  6,088 ","  6,724 ","  6,108 ","  6,659 ","  6,619 ","  3,609 ","  6,523 "
S01006542,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,  991 ,  592 ,"  6,891 ","  6,803 ","  6,929 ","  6,769 ","  6,785 ","  6,239 ","  2,607 ","  5,877 "
S01006543,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,  812 ,  457 ,"  6,419 ","  5,702 ","  6,532 ","  5,677 ","  6,593 ","  6,900 ","  2,348 ","  5,803 "
S01006544,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,"  1,176 ",  812 ,"  6,804 ","  6,466 ","  6,853 ","  6,399 ","  6,687 ","  3,380 ","  4,025 ","  3,655 "
S01006545,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,"  1,071 ",  678 ,"  6,486 ","  5,669 ","  5,748 ","  5,632 ","  6,390 ","  4,757 ","  5,222 ","  4,688 "
S01006546,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,  638 ,  398 ,"  6,884 ","  6,491 ","  5,889 ","  6,245 ","  6,431 ","  6,799 ","  6,014 ","  5,715 "
S01006547,Hazlehead,Aberdeen City,  929 ,  563 ,"  3,598 ","  3,806 ","  3,970 ","  3,907 ","  6,230 ","  4,090 ",  680 ,"  1,499 "
