Generated by http://statistics.gov.scot,2021-01-24T15:50:43+00:00
http://statistics.gov.scot/data/hospital-admissions,Hospital Admissions
measure type,Count
Admission Type,Cancer
Age,All
Gender,All
Measure (cell values): ,Count(Admissions)

,,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,127786,130973,136821,138458,136530,138811,144326,144176,140762,141457,141825
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,3751,3450,3164,3155,3299,3293,4108,4422,4323,4351,4185
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,3848,3757,3599,3477,3597,3644,4790,4983,4840,5077,5572
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,2637,2245,2512,2678,2426,2495,2896,1824,1369,1562,1492
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,2457,2761,3162,3228,3131,2960,3010,3231,3189,3121,3180
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,12314,11989,12827,12595,10885,13192,13499,14271,13741,13716,14798
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,852,775,998,971,852,761,763,747,945,728,731
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,3696,3423,3849,3646,3529,3527,2546,2620,2667,2613,2673
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,3203,3533,3335,3175,3011,3010,3441,2212,1807,2046,1844
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,3564,4003,4075,4482,4346,4465,4377,4304,3860,4000,4132
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,3145,3378,3855,3661,3717,3525,3573,3950,3624,4013,4059
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,3103,2515,3065,3023,2847,2930,3414,3722,3444,3226,3921
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,2231,2598,2381,2567,2639,2728,2737,3109,2914,3212,3180
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,2892,2774,2851,2608,2825,2538,2226,2159,2397,2176,2057
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,9968,10179,10882,10561,11589,10778,11476,11053,10220,11017,11303
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,14563,15311,15898,15810,16479,16240,16240,16555,17333,17334,16961
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,4438,4993,5013,5304,5920,6336,6691,7384,7356,7045,6777
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,1992,2197,2498,2434,2510,2469,2531,2742,2540,2468,2420
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,2310,2217,2550,2921,1999,2529,2760,2750,2836,2681,2848
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,1889,1873,1951,1881,1885,1966,1706,1747,1713,2064,2239
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,590,580,498,635,603,824,742,1062,945,679,593
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,3511,3765,4404,4517,4529,4759,4269,4520,4960,4487,4892
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,8136,8353,9015,9407,9556,9355,9817,9862,10118,9966,9780
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,503,579,493,570,607,635,525,657,550,493,573
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,3597,4004,3661,3880,3812,3696,4169,2326,2027,2037,1974
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,4910,4788,4557,5439,4973,5048,5321,5665,5676,6017,5488
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,3340,3015,3404,3602,3299,3407,3784,3611,3428,3632,3615
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,385,366,446,530,426,454,505,558,616,625,590
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,4246,4471,4822,4932,4754,4498,4722,4444,4851,4661,4390
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,8049,8896,9059,8642,8515,9132,9432,9592,8079,8034,7636
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,1508,1625,1520,1699,1585,1481,1559,1520,1538,1635,1393
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,2622,2938,3047,2886,3032,2822,3077,3271,3388,3073,3026
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,3536,3622,3430,3542,3353,3314,3620,3303,3468,3668,3480
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,1241,1040,1027,997,960,991,998,"","","",1296
