http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,36742,35479,33971,33258,31966,31015,28760,27109,27314,26991,25963
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,1421,1359,1196,1212,1197,1298,1146,1152,1138,1105,1116
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,1307,1238,1266,1336,1344,1359,1235,1211,1217,1143,1177
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,805,788,765,720,688,683,723,679,615,611,590
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,676,652,676,629,616,613,503,457,414,511,513
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,2651,2383,2291,2251,2151,2013,1858,1789,1681,1669,1484
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,329,339,270,297,297,233,257,221,221,212,227
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1158,931,767,816,698,840,914,921,789,715,835
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,1167,1172,1139,1053,919,1020,1000,827,848,714,809
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,1053,931,960,919,893,770,752,684,790,769,837
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,639,588,533,553,554,522,466,470,515,484,446
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,669,533,579,580,570,515,456,456,454,498,432
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,550,571,560,473,520,541,432,407,415,455,445
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,1319,1118,1081,1079,933,749,729,694,790,684,673
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,2285,2147,2172,2297,2188,2005,2005,1815,1685,1743,1572
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,4714,4406,4091,3646,3370,3325,2983,2883,2995,3009,2965
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,1274,1404,1458,1390,1553,1572,1627,1517,1739,1533,1300
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,946,1006,954,810,756,629,483,417,410,435,371
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,613,526,536,513,489,454,402,405,376,395,370
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,663,664,586,552,604,591,613,515,500,541,440
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,300,278,261,182,206,178,183,180,115,145,167
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,1110,1043,993,1033,908,940,784,777,817,785,840
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,2639,2693,2504,2416,2379,2316,2013,1978,1865,1854,1778
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,159,145,119,128,125,137,123,130,111,126,131
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,847,991,865,973,923,940,774,695,708,699,579
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,1396,1446,1282,1182,1105,1164,1055,818,931,1026,941
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,754,785,691,796,787,796,748,725,724,675,685
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,113,87,94,98,89,85,91,82,81,93,104
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,821,897,908,841,857,729,725,811,858,782,878
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,2150,2145,2234,2165,2164,2088,1961,1701,1777,1789,1680
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,511,526,469,593,505,396,320,369,347,378,329
