FeatureCode,DateCode,Measurement,Units,Value,Type Of Tenure,Household Type,Age,Gender,Limiting Long-term Physical or Mental Health Condition
S14000037,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.17,All,All,All,All,All
S12000040,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,All,All,All
S08000017,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.74,All,All,16-64 years,All,All
S13002718,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.98,All,All,All,All,All
S08000031,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.1,All,All,All,All,All
S13002720,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.21,All,All,All,All,All
S08000032,2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,16-34 years,All,All
S12000029,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.85,All,All,All,All,All
S13002721,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.06,All,All,All,All,All
S12000039,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.02,All,All,All,All,All
S12000008,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.2,All,All,16-34 years,All,All
S08000031,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.24,Rented,All,All,All,All
S08000016,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.76,All,All,16-64 years,All,All
S12000048,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.87,All,All,35-64 years,All,All
S12000033,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.91,Owned Mortgage/Loan,All,All,All,All
S08000032,2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,All,All,35-64 years,All,All
S13002719,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.6,All,All,All,All,All
