"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol problem drinking, males","Scotland","S00000001","Scotland",2014,"4-year aggregate (2012 - 2015)",NA,24.62,23.31,25.99,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Dumfries & Galloway","S12000006","Council area",2014,"4-year aggregate (2012 - 2015)",NA,20.46,14.82,27.55,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","East Ayrshire","S12000008","Council area",2014,"4-year aggregate (2012 - 2015)",NA,27.18,20.8,34.67,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Na h-Eileanan Siar","S12000013","Council area",2014,"4-year aggregate (2012 - 2015)",NA,19.45,15.65,23.9,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Fife","S12000047","Council area",2014,"4-year aggregate (2012 - 2015)",NA,24.83,21.07,29.01,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Highland","S12000017","Council area",2014,"4-year aggregate (2012 - 2015)",NA,19.87,14.53,26.56,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","North Ayrshire","S12000021","Council area",2014,"4-year aggregate (2012 - 2015)",NA,24.36,18.26,31.69,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Orkney Islands","S12000023","Council area",2014,"4-year aggregate (2012 - 2015)",NA,26.23,20.49,32.9,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Scottish Borders","S12000026","Council area",2014,"4-year aggregate (2012 - 2015)",NA,20.66,15.91,26.38,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Shetland Islands","S12000027","Council area",2014,"4-year aggregate (2012 - 2015)",NA,30.16,24.42,36.6,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","South Ayrshire","S12000028","Council area",2014,"4-year aggregate (2012 - 2015)",NA,20.68,16.55,25.52,"Percentage","Scottish Health Survey"
