FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S12000047,2016-2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S08000022,2015-2018,Percent,Percent Of Adults,18,Self-assessed general health: Fair,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,92.8,Any cardiovascular condition: No cardiovascular condition,Female
S08000015,2016-2019,Percent,Percent Of Adults,38,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,29.4,Summary activity levels: Very low activity,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,26.4,Summary activity levels: Very low activity,Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,26.5,Summary activity levels: Very low activity,Female
S12000027,2015-2018,95% Upper Confidence Limit,Units of alcohol,8.9,Alcohol consumption (mean weekly units),Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,61.1,Summary activity levels: Meets recommendations,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,9.4,Fruit & vegetable consumption: None,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,54.4,Summary activity levels: Meets recommendations,Female
S08000015,2015-2018,Percent,Percent Of Adults,30,Summary activity levels: Very low activity,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.9,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2015-2018,Mean,Units of alcohol,7.6,Alcohol consumption (mean weekly units),Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,7.1,Self-assessed general health: Bad/Very bad,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,12.2,Self-assessed general health: Bad/Very bad,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.6,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,15.6,Smoking status: Used to smoke regularly,Female
